250 atoms
2 atom types

Masses

1 28.085
2 12.011

Atoms

120 2 10.8975 6.5385 30.224 # 12.011
121 1 8.718 8.718 0.0 # 28.085
122 2 10.8975 10.8975 0.0 # 12.011
123 1 8.718 8.718 7.556 # 28.085
124 2 10.8975 10.8975 7.556 # 12.011
125 1 8.718 8.718 15.112 # 28.085
126 2 10.8975 10.8975 15.112 # 12.011
127 1 8.718 8.718 22.668 # 28.085
128 2 10.8975 10.8975 22.668 # 12.011
129 1 8.718 8.718 30.224 # 28.085
130 2 10.8975 10.8975 30.224 # 12.011
131 1 8.718 13.077 0.0 # 28.085
132 2 10.8975 15.256499999999999 0.0 # 12.011
133 1 8.718 13.077 7.556 # 28.085
134 2 10.8975 15.256499999999999 7.556 # 12.011
135 1 8.718 13.077 15.112 # 28.085
136 2 10.8975 15.256499999999999 15.112 # 12.011
137 1 8.718 13.077 22.668 # 28.085
138 2 10.8975 15.256499999999999 22.668 # 12.011
139 1 8.718 13.077 30.224 # 28.085
140 2 10.8975 15.256499999999999 30.224 # 12.011
141 1 8.718 17.436 0.0 # 28.085
142 2 10.8975 19.6155 0.0 # 12.011
143 1 8.718 17.436 7.556 # 28.085
144 2 10.8975 19.6155 7.556 # 12.011
145 1 8.718 17.436 15.112 # 28.085
146 2 10.8975 19.6155 15.112 # 12.011
147 1 8.718 17.436 22.668 # 28.085
148 2 10.8975 19.6155 22.668 # 12.011
149 1 8.718 17.436 30.224 # 28.085
150 2 10.8975 19.6155 30.224 # 12.011
151 1 13.077 0.0 0.0 # 28.085
152 2 15.256499999999999 2.1795 0.0 # 12.011
153 1 13.077 0.0 7.556 # 28.085
154 2 15.256499999999999 2.1795 7.556 # 12.011
155 1 13.077 0.0 15.112 # 28.085
156 2 15.256499999999999 2.1795 15.112 # 12.011
157 1 13.077 0.0 22.668 # 28.085
158 2 15.256499999999999 2.1795 22.668 # 12.011
159 1 13.077 0.0 30.224 # 28.085
160 2 15.256499999999999 2.1795 30.224 # 12.011
161 1 13.077 4.359 0.0 # 28.085
162 2 15.256499999999999 6.5385 0.0 # 12.011
163 1 13.077 4.359 7.556 # 28.085
164 2 15.256499999999999 6.5385 7.556 # 12.011
165 1 13.077 4.359 15.112 # 28.085
166 2 15.256499999999999 6.5385 15.112 # 12.011
